Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 08, 2015",0.46,0.47,0.46,0.46,"17,638.00","3,935,246.00"
"Jul 07, 2015",0.46,0.47,0.45,0.47,"14,249.00","3,902,162.00"
"Jul 06, 2015",0.48,0.47,0.45,0.46,"30,722.00","3,861,938.00"
"Jul 05, 2015",0.46,0.48,0.45,0.47,"19,135.00","3,938,923.00"
"Jul 04, 2015",0.44,0.46,0.44,0.46,"8,840.00","3,822,445.00"
"Jul 03, 2015",0.44,0.45,0.44,0.44,"17,287.00","3,703,919.00"
"Jul 02, 2015",0.45,0.46,0.43,0.44,"20,858.00","3,724,898.00"
"Jul 01, 2015",0.45,0.46,0.44,0.45,"15,257.00","3,732,773.00"
"Jun 30, 2015",0.44,0.46,0.43,0.45,"18,356.00","3,709,866.00"
"Jun 29, 2015",0.43,0.45,0.41,0.44,"34,733.00","3,733,622.00"
"Jun 28, 2015",0.44,0.44,0.41,0.43,"31,751.00","3,494,130.00"
"Jun 27, 2015",0.43,0.45,0.43,0.44,"22,453.00","3,646,459.00"
"Jun 26, 2015",0.45,0.45,0.43,0.43,"24,932.00","3,571,336.00"
"Jun 25, 2015",0.45,0.46,0.44,0.45,"18,104.00","3,707,408.00"
"Jun 24, 2015",0.47,0.48,0.45,0.45,"27,494.00","3,732,144.00"
"Jun 23, 2015",0.48,0.48,0.46,0.47,"30,107.00","3,818,265.00"
"Jun 22, 2015",0.46,0.48,0.46,0.48,"21,252.00","3,904,722.00"
"Jun 21, 2015",0.47,0.48,0.46,0.46,"17,636.00","3,775,183.00"
"Jun 20, 2015",0.45,0.48,0.44,0.47,"41,309.00","3,874,701.00"
"Jun 19, 2015",0.44,0.48,0.44,0.45,"31,841.00","3,674,594.00"
"Jun 18, 2015",0.44,0.45,0.43,0.44,"16,302.00","3,614,454.00"
"Jun 17, 2015",0.45,0.46,0.44,0.44,"31,239.00","3,643,708.00"
"Jun 16, 2015",0.45,0.46,0.43,0.45,"42,224.00","3,646,059.00"
"Jun 15, 2015",0.44,0.46,0.44,0.45,"24,147.00","3,671,242.00"
"Jun 14, 2015",0.43,0.44,0.42,0.44,"22,441.00","3,555,310.00"
"Jun 13, 2015",0.42,0.43,0.41,0.43,"33,895.00","3,509,627.00"
"Jun 12, 2015",0.41,0.44,0.41,0.42,"33,523.00","3,377,834.00"
"Jun 11, 2015",0.42,0.44,0.41,0.41,"35,017.00","3,295,045.00"
"Jun 10, 2015",0.44,0.44,0.42,0.42,"16,439.00","3,411,840.00"
"Jun 09, 2015",0.48,0.49,0.40,0.44,"75,028.00","3,528,308.00"
"Jun 08, 2015",0.46,0.49,0.45,0.48,"54,437.00","3,916,735.00"
"Jun 07, 2015",0.47,0.48,0.45,0.47,"54,811.00","3,726,579.00"
"Jun 06, 2015",0.45,0.48,0.45,0.47,"55,397.00","3,781,236.00"
"Jun 05, 2015",0.43,0.45,0.42,0.45,"29,608.00","3,546,447.00"
"Jun 04, 2015",0.40,0.43,0.40,0.43,"24,057.00","3,364,964.00"
"Jun 03, 2015",0.41,0.42,0.40,0.40,"18,362.00","3,229,041.00"
"Jun 02, 2015",0.42,0.42,0.40,0.41,"38,478.00","3,304,774.00"
"Jun 01, 2015",0.41,0.43,0.41,0.41,"20,011.00","3,259,693.00"
"May 31, 2015",0.41,0.44,0.40,0.41,"40,135.00","3,239,560.00"
"May 30, 2015",0.40,0.41,0.39,0.41,"15,204.00","3,192,094.00"
"May 29, 2015",0.41,0.42,0.40,0.40,"26,989.00","3,156,311.00"
"May 28, 2015",0.39,0.42,0.39,0.40,"27,194.00","3,196,567.00"
"May 27, 2015",0.41,0.41,0.38,0.39,"40,625.00","3,037,912.00"
"May 26, 2015",0.42,0.43,0.40,0.41,"29,550.00","3,187,116.00"
"May 25, 2015",0.44,0.44,0.42,0.42,"25,514.00","3,293,058.00"
"May 24, 2015",0.43,0.44,0.42,0.44,"11,619.00","3,393,226.00"
"May 23, 2015",0.42,0.45,0.42,0.43,"25,435.00","3,326,022.00"
"May 22, 2015",0.42,0.43,0.38,0.42,"47,585.00","3,220,991.00"
"May 21, 2015",0.46,0.48,0.40,0.42,"99,439.00","3,231,866.00"
"May 20, 2015",0.46,0.50,0.44,0.44,"55,910.00","3,422,219.00"
"May 19, 2015",0.47,0.49,0.44,0.46,"56,670.00","3,509,831.00"
"May 18, 2015",0.49,0.53,0.46,0.47,"58,061.00","3,607,872.00"
"May 17, 2015",0.52,0.55,0.48,0.49,"33,667.00","3,742,669.00"
"May 16, 2015",0.48,0.54,0.47,0.52,"42,347.00","3,993,198.00"
"May 15, 2015",0.44,0.50,0.44,0.48,"32,401.00","3,662,569.00"
"May 14, 2015",0.43,0.45,0.42,0.43,"21,495.00","3,339,934.00"
"May 13, 2015",0.43,0.46,0.42,0.43,"19,916.00","3,287,543.00"
"May 12, 2015",0.46,0.46,0.43,0.43,"24,775.00","3,264,078.00"
"May 11, 2015",0.50,0.51,0.44,0.46,"35,972.00","3,472,460.00"
"May 10, 2015",0.46,0.51,0.44,0.50,"23,079.00","3,829,194.00"
"May 09, 2015",0.44,0.48,0.43,0.46,"29,989.00","3,474,146.00"
"May 08, 2015",0.42,0.45,0.42,0.44,"12,422.00","3,297,477.00"
"May 07, 2015",0.40,0.43,0.40,0.42,"25,933.00","3,103,626.00"
