date,monday,tuesday,wednesday,thursday,friday
2013 Sep-30 to Oct- 4,107.85,107.32,109.09,109.49,109.42
2013 Oct- 7 to Oct-11,109.66,110.56,109.02,111.63,110.65
2013 Oct-14 to Oct-18,110.13,110.67,110.79,109.55,109.4
2013 Oct-21 to Oct-25,109.47,109.57,107.74,106.63,105.7
2013 Oct-28 to Nov- 1,108.29,108.04,108.41,107.53,105.78
2013 Nov- 4 to Nov- 8,104.85,105.01,105.46,103.08,104.29
2013 Nov-11 to Nov-15,105.76,106.29,106.9,108.29,108.25
2013 Nov-18 to Nov-22,108.8,108.29,108.27,109.9,111.36
2013 Nov-25 to Nov-29,110.83,112.04,111.32,,111.07
2013 Dec- 2 to Dec- 6,111.49,113.06,113.27,112.07,111.5
2013 Dec- 9 to Dec-13,110.07,108.91,109.47,108.99,108.08
2013 Dec-16 to Dec-20,110.3,108.91,109.56,110.78,112.15
2013 Dec-23 to Dec-27,111.58,111.57,,111.65,112.06
2013 Dec-30 to Jan- 3,110.47,109.95,,107.94,106.57
2014 Jan- 6 to Jan-10,106.71,107.01,107.42,107.49,106.44
2014 Jan-13 to Jan-17,108.02,107.12,108.09,107.46,108.45
2014 Jan-20 to Jan-24,108.01,109.17,109.69,109.69,109.14
2014 Jan-27 to Jan-31,108.72,109.1,108.83,109.36,108.16
2014 Feb- 3 to Feb- 7,106.55,107.04,106.81,108.15,110.12
2014 Feb-10 to Feb-14,110.18,109.21,108.62,108.98,108.63
2014 Feb-17 to Feb-21,,110.14,110.37,109.42,109.03
2014 Feb-24 to Feb-28,109.76,109.19,109.39,108.54,108.98
2014 Mar- 3 to Mar- 7,111.26,109.17,108.15,107.99,109.14
2014 Mar-10 to Mar-14,108.27,108.35,107.88,107.48,108.08
2014 Mar-17 to Mar-21,106.99,106.79,105.95,105.73,107.2
2014 Mar-24 to Mar-28,106.59,107.01,105.9,106.58,106.64
2014 Mar-31 to Apr- 4,105.95,105.7,103.37,104.88,106.41
2014 Apr- 7 to Apr-11,104.89,105.83,107.39,107.1,107.34
2014 Apr-14 to Apr-18,107.68,109.1,109.71,109.79,
2014 Apr-21 to Apr-25,109.69,108.54,108.48,109.79,109.53
2014 Apr-28 to May- 2,109.12,109.89,108.63,108.63,109.48
2014 May- 5 to May- 9,109.48,108.3,108.17,108.19,108.26
2014 May-12 to May-16,108.37,108.78,109.87,109.74,110.9
2014 May-19 to May-23,110.84,110.35,111.32,110.89,110.19
2014 May-26 to May-30,110.01,109.81,109.09,109.98,109.21
2014 Jun- 2 to Jun- 6,109.34,108.87,109.07,108.43,109.21
2014 Jun- 9 to Jun-13,110.55,109.18,109.83,112.18,113.15
2014 Jun-16 to Jun-20,113.42,114.02,114.25,115.19,114.55
2014 Jun-23 to Jun-27,113.62,113.74,112.84,112.61,112.62
2014 Jun-30 to Jul- 4,111.03,110.84,110.18,108.98,
2014 Jul- 7 to Jul-11,108.7,107.65,106.84,106.2,105.77
2014 Jul-14 to Jul-18,104.73,104.73,105.41,106.04,106.03
2014 Jul-21 to Jul-25,105.71,106.48,106.85,105.78,106.89
2014 Jul-28 to Aug- 1,106.7,106.98,106.47,104.94,103.45
2014 Aug- 4 to Aug- 8,103.63,102.82,104.17,104.02,103.36
2014 Aug-11 to Aug-15,103.47,101.68,102.27,101.15,101.13
2014 Aug-18 to Aug-22,99.37,99.74,99.92,100.28,100.09
2014 Aug-25 to Aug-29,100.49,100.5,100.4,100.71,101.12
2014 Sep- 1 to Sep- 5,,100.21,100.88,101.21,99.51
2014 Sep- 8 to Sep-12,99.53,98.08,96.26,96.42,96.31
2014 Sep-15 to Sep-19,96.43,97.39,97.7,96.82,96.75
2014 Sep-22 to Sep-26,95.37,94.87,94.53,95.2,95.08
2014 Sep-29 to Oct- 3,95.7,94.67,94.57,91.29,90.8
2014 Oct- 6 to Oct-10,90.65,90.9,90.25,90.47,88.66
2014 Oct-13 to Oct-17,87.82,86.36,84.02,84.02,85.27
2014 Oct-20 to Oct-24,84.42,85.17,86.38,85.94,86
2014 Oct-27 to Oct-31,85.64,85.57,86.91,85.5,84.17
2014 Nov- 3 to Nov- 7,84.9,82.12,82.88,82.08,83.2
2014 Nov-10 to Nov-14,82.9,80.94,80.42,77.74,77.51
2014 Nov-17 to Nov-21,76.86,77.23,77.21,77.61,79.2
2014 Nov-24 to Nov-28,79.62,77.62,77.39,,71.89
2014 Dec- 1 to Dec- 5,70.87,71.13,70.13,68.48,68
2014 Dec- 8 to Dec-12,65.64,66.11,63.32,63.65,61.67
2014 Dec-15 to Dec-19,61.09,60.26,59.84,58.81,58.87
2014 Dec-22 to Dec-26,58.31,59.07,58.67,,58.72
2014 Dec-29 to Jan- 2,57.86,55.6,55.27,,55.38
