date,Polarity_avg,Subjectivity_avg,Class
2016-08-07,-0.2755,0.8115,negative
2016-08-08,-0.011399999999999993,0.868,positive
2016-08-08,-0.011399999999999993,0.868,negative
2016-08-09,0.0,1.0,neutral
2016-08-10,-0.05259999999999998,0.838,negative
2016-08-10,-0.05259999999999998,0.838,positive
2016-08-11,-0.10115,0.8885000000000001,negative
2016-08-11,-0.10115,0.8885000000000001,neutral
2016-08-12,0.5719,0.8634999999999999,positive
2016-08-13,0.4019,0.8925000000000001,positive
2016-08-14,0.60175,0.8335,positive
2016-08-15,-0.3638,0.8474999999999999,negative
2016-08-16,0.27304999999999996,0.8305,negative
2016-08-16,0.27304999999999996,0.8305,positive
2016-08-17,-0.03740000000000002,0.8645,positive
2016-08-17,-0.03740000000000002,0.8645,negative
2016-08-18,-0.04594999999999999,0.5545,positive
2016-08-18,-0.04594999999999999,0.5545,negative
2016-08-19,0.05554999999999999,0.8,negative
2016-08-19,0.05554999999999999,0.8,positive
2016-08-20,0.29969999999999997,0.908,positive
2016-08-21,0.1655,0.835,positive
2016-08-22,0.3062,0.9075,positive
2016-08-22,0.3062,0.9075,neutral
2016-08-23,0.1956,0.893,negative
2016-08-23,0.1956,0.893,positive
2016-08-24,0.3235,0.8405,positive
2016-08-25,0.3645,0.8460000000000001,positive
2016-08-26,0.29915,0.8654999999999999,neutral
2016-08-26,0.29915,0.8654999999999999,positive
2016-08-27,0.3454,0.9179999999999999,neutral
2016-08-27,0.3454,0.9179999999999999,positive
2016-08-28,0.2294,0.9375,positive
2016-08-28,0.2294,0.9375,neutral
2016-08-29,-0.10025,0.923,negative
2016-08-29,-0.10025,0.923,positive
2016-08-30,0.09664999999999999,0.9430000000000001,negative
2016-08-30,0.09664999999999999,0.9430000000000001,positive
2016-08-31,0.27985,0.7709999999999999,negative
2016-08-31,0.27985,0.7709999999999999,positive
2016-09-01,0.5818,0.8245,positive
2016-09-02,0.0,1.0,neutral
2016-09-03,-0.11659999999999998,0.706,negative
2016-09-03,-0.11659999999999998,0.706,positive
2016-09-04,-0.5537,0.8155,negative
2016-09-05,0.0,0.9245,neutral
2016-09-06,0.15099999999999997,0.8285,positive
2016-09-06,0.15099999999999997,0.8285,negative
2016-09-07,0.6212,0.8425,positive
2016-09-08,0.29495,0.702,negative
2016-09-08,0.29495,0.702,positive
2016-09-09,0.1562,0.8220000000000001,negative
2016-09-09,0.1562,0.8220000000000001,positive
2016-09-10,-0.1935,0.7205,negative
2016-09-11,-0.7672,0.7865,negative
2016-09-12,-0.058499999999999996,0.734,positive
2016-09-12,-0.058499999999999996,0.734,negative
2016-09-13,0.4939,0.8140000000000001,positive
2016-09-14,0.1591,0.958,neutral
2016-09-14,0.1591,0.958,positive
2016-09-15,0.31245,0.906,neutral
2016-09-15,0.31245,0.906,positive
2016-09-16,0.19934999999999997,0.848,negative
2016-09-16,0.19934999999999997,0.848,positive
2016-09-17,0.1977,0.8400000000000001,positive
2016-09-18,0.6044499999999999,0.788,positive
2016-09-19,0.20095,0.9475,neutral
2016-09-19,0.20095,0.9475,positive
2016-09-20,-0.2985,0.854,positive
2016-09-20,-0.2985,0.854,negative
2016-09-21,-0.20379999999999998,0.7435,negative
2016-09-21,-0.20379999999999998,0.7435,positive
2016-09-22,-0.55385,0.8825000000000001,negative
2016-09-23,-0.48895,0.837,negative
2016-09-24,0.1027,0.798,positive
2016-09-25,0.0,0.804,neutral
2016-09-26,-0.05135,0.9715,negative
2016-09-26,-0.05135,0.9715,neutral
2016-09-27,-0.21315,0.9055,negative
2016-09-28,0.02705000000000002,0.7875,negative
2016-09-28,0.02705000000000002,0.7875,positive
2016-09-29,-0.11205000000000001,0.8505,negative
2016-09-29,-0.11205000000000001,0.8505,positive
2016-09-30,0.1779,0.9395,positive
2016-10-01,0.58005,0.865,positive
2016-10-02,0.2263,0.9305000000000001,positive
2016-10-03,0.38965,0.6950000000000001,positive
2016-10-04,0.4363,0.8725,positive
2016-10-05,-0.23835,0.95,neutral
2016-10-05,-0.23835,0.95,negative
2016-10-06,0.3599,0.723,positive
2016-10-06,0.3599,0.723,negative
2016-10-07,0.5498,0.8600000000000001,positive
2016-10-08,0.48945,0.858,positive
2016-10-09,-0.34,0.924,negative
2016-10-10,-0.17635,0.8525,negative
