Date,Open,High,Low,Close,Volume
"Monday, August 30, 2021",109.95,109.95,109.95,109.95,--
"Friday, August 27, 2021",109.83,109.83,109.83,109.83,--
"Thursday, August 26, 2021",109.36,109.36,109.36,109.36,--
"Wednesday, August 25, 2021",109.39,109.39,109.39,109.39,--
"Tuesday, August 24, 2021",109.37,109.37,109.37,109.37,--
"Monday, August 23, 2021",109.29,109.29,109.29,109.29,--
"Friday, August 20, 2021",108.99,108.99,108.99,108.99,--
"Thursday, August 19, 2021",109.35,109.35,109.35,109.35,--
"Wednesday, August 18, 2021",109.41,109.41,109.41,109.41,--
"Tuesday, August 17, 2021",109.52,109.52,109.52,109.52,--
"Monday, August 16, 2021",109.73,109.73,109.73,109.73,--
"Friday, August 13, 2021",109.56,109.56,109.56,109.56,--
"Thursday, August 12, 2021",109.45,109.45,109.45,109.45,--
"Wednesday, August 11, 2021",109.49,109.49,109.49,109.49,--
"Tuesday, August 10, 2021",109.28,109.28,109.28,109.28,--
"Monday, August 09, 2021",109.22,109.22,109.22,109.22,--
"Friday, August 06, 2021",109.29,109.29,109.29,109.29,--
"Thursday, August 05, 2021",109.47,109.47,109.47,109.47,--
"Wednesday, August 04, 2021",109.86,109.86,109.86,109.86,--
"Tuesday, August 03, 2021",110.07,110.07,110.07,110.07,--
"Monday, August 02, 2021",109.95,109.95,109.95,109.95,--
"Friday, July 30, 2021",109.99,109.99,109.99,109.99,--
"Thursday, July 29, 2021",109.85,109.85,109.85,109.85,--
"Wednesday, July 28, 2021",109.91,109.91,109.91,109.91,--
"Tuesday, July 27, 2021",109.65,109.65,109.65,109.65,--
"Monday, July 26, 2021",109.62,109.62,109.62,109.62,--
"Friday, July 23, 2021",109.25,109.25,109.25,109.25,--
"Thursday, July 22, 2021",108.88,108.88,108.88,108.88,--
"Wednesday, July 21, 2021",108.71,108.71,108.71,108.71,--
"Tuesday, July 20, 2021",108.78,108.78,108.78,108.78,--
"Monday, July 19, 2021",108.74,108.74,108.74,108.74,--
"Friday, July 16, 2021",108.77,108.77,108.77,108.77,--
"Thursday, July 15, 2021",108.82,108.82,108.82,108.82,--
"Wednesday, July 14, 2021",108.59,108.59,108.59,108.59,--
"Tuesday, July 13, 2021",108.45,108.45,108.45,108.45,--
"Monday, July 12, 2021",108.29,108.29,108.29,108.29,--
"Friday, July 09, 2021",108,108,108,108,--
"Thursday, July 08, 2021",107.98,107.98,107.98,107.98,--
"Wednesday, July 07, 2021",108.01,108.01,108.01,108.01,--
"Tuesday, July 06, 2021",108.11,108.11,108.11,108.11,--
"Monday, July 05, 2021",107.85,107.85,107.85,107.85,--
"Friday, July 02, 2021",107.76,107.76,107.76,107.76,--
"Thursday, July 01, 2021",107.59,107.59,107.59,107.59,--
"Wednesday, June 30, 2021",107.57,107.57,107.57,107.57,--
"Tuesday, June 29, 2021",107.42,107.42,107.42,107.42,--
"Monday, June 28, 2021",107.38,107.38,107.38,107.38,--
"Friday, June 25, 2021",107.22,107.22,107.22,107.22,--
"Thursday, June 24, 2021",107.17,107.17,107.17,107.17,--
"Wednesday, June 23, 2021",107.32,107.32,107.32,107.32,--
